"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","packetradius*","fitness","num-replicates","best-fitness-so-far"
"5","640","200","0.6000000000000001","0","0.8","5","100","""byPackets""","5","3","54.775","20","29.6"
"5","660","200","1","0.6000000000000001","0.4","5","100","""byPackets""","5","3","32.2","20","29.6"
"5","680","200","1","0.6000000000000001","0.6000000000000001","5","100","""byPackets""","5","3","30.675","20","29.6"
"5","700","200","0.6000000000000001","0.9","0","5","100","""byPackets""","5","3","42.05","20","29.6"
"5","720","200","0.30000000000000004","0.4","0.2","5","100","""byPackets""","5","3","32.925","20","29.6"
"5","740","200","0.8","0.30000000000000004","0.1","5","100","""byPackets""","5","3","31.325","20","29.6"
"5","760","200","0.2","0.1","0","5","100","""byPackets""","5","3","32.95","20","29.6"
"5","780","200","0","0","0.7000000000000001","5","100","""byPackets""","5","3","52.65","20","29.6"
"5","800","200","0.2","1","1","5","100","""byPackets""","5","3","45.7","20","29.6"
"5","820","200","0.4","0.4","0.7000000000000001","5","100","""byPackets""","5","3","51.2","20","29.6"
"5","840","200","0","0.7000000000000001","0","5","100","""byPackets""","5","3","36.175","20","29.6"
"5","860","200","0","0.4","0.7000000000000001","5","100","""byPackets""","5","3","48.55","20","29.6"
"5","880","200","0.2","0.9","0.7000000000000001","5","100","""byPackets""","5","3","39.075","20","29.6"
"5","900","200","1","0.30000000000000004","0.4","5","100","""byPackets""","5","3","77.3","20","29.6"
"5","920","200","0.7000000000000001","0.4","0.8","5","100","""byPackets""","5","3","49.275","20","29.6"
"5","940","200","0.7000000000000001","0.9","0.6000000000000001","5","100","""byPackets""","5","3","56.225","20","29.6"
"5","960","200","0.4","0.5","0.9","5","100","""byPackets""","5","3","54.325","20","29.6"
"5","980","200","0.2","0.4","0.2","5","100","""byPackets""","5","3","59.125","20","29.6"
"5","1000","200","0","0","0.5","5","100","""byPackets""","5","3","37.25","20","29.6"
